timestamp,open,high,low,close
2023-10-01,1.1600,1.1650,1.1550,1.1625
2023-10-02,1.1625,1.1700,1.1600,1.1680
2023-10-03,1.1680,1.1750,1.1650,1.1725
2023-10-04,1.1725,1.1800,1.1700,1.1780
2023-10-05,1.1780,1.1850,1.1750,1.1825
2023-10-06,1.1825,1.1900,1.1800,1.1875
2023-10-07,1.1875,1.1950,1.1850,1.1925
2023-10-08,1.1925,1.2000,1.1900,1.1975
2023-10-09,1.1975,1.2050,1.1950,1.2025
2023-10-10,1.2025,1.2100,1.2000,1.2075
2023-10-11,1.2075,1.2150,1.2050,1.2125
2023-10-12,1.2125,1.2200,1.2100,1.2175
2023-10-13,1.2175,1.2250,1.2150,1.2225
2023-10-14,1.2225,1.2300,1.2200,1.2275
2023-10-15,1.2275,1.2350,1.2250,1.2325
2023-10-16,1.2325,1.2400,1.2300,1.2375
2023-10-17,1.2375,1.2450,1.2350,1.2425
2023-10-18,1.2425,1.2500,1.2400,1.2475
2023-10-19,1.2475,1.2550,1.2450,1.2525
2023-10-20,1.2525,1.2600,1.2500,1.2575
2023-10-01,1.1600,1.1650,1.1550,1.1625
2023-10-02,1.1625,1.1700,1.1600,1.1680
2023-10-03,1.1680,1.1750,1.1650,1.1725
2023-10-04,1.1725,1.1800,1.1700,1.1780
2023-10-05,1.1780,1.1850,1.1750,1.1825
2023-10-06,1.1825,1.1900,1.1800,1.1875
2023-10-07,1.1875,1.1950,1.1850,1.1925
2023-10-08,1.1925,1.2000,1.1900,1.1975
2023-10-09,1.1975,1.2050,1.1950,1.2025
2023-10-10,1.2025,1.2100,1.2000,1.2075
2023-10-11,1.2075,1.2150,1.2050,1.2125
2023-10-12,1.2125,1.2200,1.2100,1.2175
2023-10-13,1.2175,1.2250,1.2150,1.2225
2023-10-14,1.2225,1.2300,1.2200,1.2275
2023-10-15,1.2275,1.2350,1.2250,1.2325
2023-10-16,1.2325,1.2400,1.2300,1.2375
2023-10-17,1.2375,1.2450,1.2350,1.2425
2023-10-18,1.2425,1.2500,1.2400,1.2475
2023-10-19,1.2475,1.2550,1.2450,1.2525
2023-10-20,1.2525,1.2600,1.2500,1.2575
2023-10-21,1.2575,1.2650,1.2550,1.2625
2023-10-22,1.2625,1.2700,1.2600,1.2675
2023-10-23,1.2675,1.2750,1.2650,1.2725
2023-10-24,1.2725,1.2800,1.2700,1.2775
2023-10-25,1.2775,1.2850,1.2750,1.2825
2023-10-26,1.2825,1.2900,1.2800,1.2875
2023-10-27,1.2875,1.2950,1.2850,1.2925
2023-10-28,1.2925,1.3000,1.2900,1.2975
2023-10-29,1.2975,1.3050,1.2950,1.3025
2023-10-30,1.3025,1.3100,1.3000,1.3075
2023-10-31,1.3075,1.3150,1.3050,1.3125
2023-11-01,1.3125,1.3200,1.3100,1.3175
2023-11-02,1.3175,1.3250,1.3150,1.3225
2023-11-03,1.3225,1.3300,1.3200,1.3275
2023-11-04,1.3275,1.3350,1.3250,1.3325
2023-11-05,1.3325,1.3400,1.3300,1.3375
2023-11-06,1.3375,1.3450,1.3350,1.3425
2023-11-07,1.3425,1.3500,1.3400,1.3475
2023-11-08,1.3475,1.3550,1.3450,1.3525
2023-11-09,1.3525,1.3600,1.3500,1.3575
2023-11-10,1.3575,1.3650,1.3550,1.3625
2023-11-11,1.3625,1.3700,1.3600,1.3675
2023-11-12,1.3675,1.3750,1.3650,1.3725
2023-11-13,1.3725,1.3800,1.3700,1.3775
2023-11-14,1.3775,1.3850,1.3750,1.3825
2023-11-15,1.3825,1.3900,1.3800,1.3875
2023-11-16,1.3875,1.3950,1.3850,1.3925
2023-11-17,1.3925,1.4000,1.3900,1.3975
2023-11-18,1.3975,1.4050,1.3950,1.4025
2023-11-19,1.4025,1.4100,1.4000,1.4075
2023-11-20,1.4075,1.4150,1.4050,1.4125
2023-11-21,1.4125,1.4200,1.4100,1.4175
2023-11-22,1.4175,1.4250,1.4150,1.4225
2023-11-23,1.4225,1.4300,1.4200,1.4275
2023-11-24,1.4275,1.4350,1.4250,1.4325
2023-11-25,1.4325,1.4400,1.4300,1.4375
2023-11-26,1.4375,1.4450,1.4350,1.4425
2023-11-27,1.4425,1.4500,1.4400,1.4475
2023-11-28,1.4475,1.4550,1.4450,1.4525
2023-11-29,1.4525,1.4600,1.4500,1.4575
2023-11-30,1.4575,1.4650,1.4550,1.4625
2023-12-01,1.4625,1.4700,1.4600,1.4675
2023-12-02,1.4675,1.4750,1.4650,1.4725
2023-12-03,1.4725,1.4800,1.4700,1.4775
2023-12-04,1.4775,1.4850,1.4750,1.4825
2023-12-05,1.4825,1.4900,1.4800,1.4875
2023-12-06,1.4875,1.4950,1.4850,1.4925
2023-12-07,1.4925,1.5000,1.4900,1.4975
2023-12-08,1.4975,1.5050,1.4950,1.5025
2023-12-09,1.5025,1.5100,1.5000,1.5075
2023-12-10,1.5075,1.5150,1.5050,1.5125
2023-12-11,1.5125,1.5200,1.5100,1.5175
2023-12-12,1.5175,1.5250,1.5150,1.5225
2023-12-13,1.5225,1.5300,1.5200,1.5275
2023-12-14,1.5275,1.5350,1.5250,1.5325
2023-12-15,1.5325,1.5400,1.5300,1.5375
2023-12-16,1.5375,1.5450,1.5350,1.5425
2023-12-17,1.5425,1.5500,1.5400,1.5475
2023-12-18,1.5475,1.5550,1.5450,1.5525
2023-12-19,1.5525,1.5600,1.5500,1.5575
2023-12-20,1.5575,1.5650,1.5550,1.5625
2023-12-21,1.5625,1.5700,1.5600,1.5675
2023-12-22,1.5675,1.5750,1.5650,1.5725
2023-12-23,1.5725,1.5800,1.5700,1.5775
2023-12-24,1.5775,1.5850,1.5750,1.5825
2023-12-25,1.5825,1.5900,1.5800,1.5875
2023-12-26,1.5875,1.5950,1.5850,1.5925
2023-12-27,1.5925,1.6000,1.5900,1.5975
2023-12-28,1.5975,1.6050,1.5950,1.6025
2023-12-29,1.6025,1.6100,1.6000,1.6075
2023-12-30,1.6075,1.6150,1.6050,1.6125
2023-12-31,1.6125,1.6200,1.6100,1.6175
2024-01-01,1.6175,1.6250,1.6150,1.6225
2024-01-02,1.6225,1.6300,1.6200,1.6275
2024-01-03,1.6275,1.6350,1.6250,1.6325
2024-01-04,1.6325,1.6400,1.6300,1.6375
2024-01-05,1.6375,1.6450,1.6350,1.6425
2024-01-06,1.6425,1.6500,1.6400,1.6475
2024-01-07,1.6475,1.6550,1.6450,1.6525
2024-01-08,1.6525,1.6600,1.6500,1.6575
2024-01-09,1.6575,1.6650,1.6550,1.6625
2024-01-10,1.6625,1.6700,1.6600,1.6675
2024-01-11,1.6675,1.6750,1.6650,1.6725
2024-01-12,1.6725,1.6800,1.6700,1.6775
2024-01-13,1.6775,1.6850,1.6750,1.6825
2024-01-14,1.6825,1.6900,1.6800,1.6875
2024-01-15,1.6875,1.6950,1.6850,1.6925
2024-01-16,1.6925,1.7000,1.6900,1.6975
2024-01-17,1.6975,1.7050,1.6950,1.7025
2024-01-18,1.7025,1.7100,1.7000,1.7075
2024-01-19,1.7075,1.7150,1.7050,1.7125
2024-01-20,1.7125,1.7200,1.7100,1.7175
2024-01-21,1.7175,1.7250,1.7150,1.7225
2024-01-22,1.7225,1.7300,1.7200,1.7275
2024-01-23,1.7275,1.7350,1.7250,1.7325
2024-01-24,1.7325,1.7400,1.7300,1.7375
2024-01-25,1.7375,1.7450,1.7350,1.7425
2024-01-26,1.7425,1.7500,1.7400,1.7475
2024-01-27,1.7475,1.7550,1.7450,1.7525
2024-01-28,1.7525,1.7600,1.7500,1.7575
2024-01-29,1.7575,1.7650,1.7550,1.7625
2024-01-30,1.7625,1.7700,1.7600,1.7675
2024-01-31,1.7675,1.7750,1.7650,1.7725
2024-02-01,1.7725,1.7800,1.7700,1.7775
2024-02-02,1.7775,1.7850,1.7750,1.7825
2024-02-03,1.7825,1.7900,1.7800,1.7875
2024-02-04,1.7875,1.7950,1.7850,1.7925
2024-02-05,1.7925,1.8000,1.7900,1.7975
2024-02-06,1.7975,1.8050,1.7950,1.8025
2024-02-07,1.8025,1.8100,1.8000,1.8075
2024-02-08,1.8075,1.8150,1.8050,1.8125
2024-02-09,1.8125,1.8200,1.8100,1.8175
2024-02-10,1.8175,1.8250,1.8150,1.8225
2024-02-11,1.8225,1.8300,1.8200,1.8275
2024-02-12,1.8275,1.8350,1.8250,1.8325
2024-02-13,1.8325,1.8400,1.8300,1.8375
2024-02-14,1.8375,1.8450,1.8350,1.8425
2024-02-15,1.8425,1.8500,1.8400,1.8475
2024-02-16,1.8475,1.8550,1.8450,1.8525
2024-02-17,1.8525,1.8600,1.8500,1.8575
2024-02-18,1.8575,1.8650,1.8550,1.8625
2024-02-19,1.8625,1.8700,1.8600,1.8675
2024-02-20,1.8675,1.8750,1.8650,1.8725
2024-02-21,1.8725,1.8800,1.8700,1.8775
2024-02-22,1.8775,1.8850,1.8750,1.8825
2024-02-23,1.8825,1.8900,1.8800,1.8875
2024-02-24,1.8875,1.8950,1.8850,1.8925
2024-02
2023-10-01,1.1600,1.1650,1.1550,1.1625
2023-10-02,1.1625,1.1700,1.1600,1.1680
2023-10-03,1.1680,1.1750,1.1650,1.1725
2023-10-04,1.1725,1.1800,1.1700,1.1780
2023-10-05,1.1780,1.1850,1.1750,1.1825
2023-10-06,1.1825,1.1900,1.1800,1.1875
2023-10-07,1.1875,1.1950,1.1850,1.1925
2023-10-08,1.1925,1.2000,1.1900,1.1975
2023-10-09,1.1975,1.2050,1.1950,1.2025
2023-10-10,1.2025,1.2100,1.2000,1.2075
2023-10-11,1.2075,1.2150,1.2050,1.2125
2023-10-12,1.2125,1.2200,1.2100,1.2175
2023-10-13,1.2175,1.2250,1.2150,1.2225
2023-10-14,1.2225,1.2300,1.2200,1.2275
2023-10-15,1.2275,1.2350,1.2250,1.2325
2023-10-16,1.2325,1.2400,1.2300,1.2375
2023-10-17,1.2375,1.2450,1.2350,1.2425
2023-10-18,1.2425,1.2500,1.2400,1.2475
2023-10-19,1.2475,1.2550,1.2450,1.2525
2023-10-20,1.2525,1.2600,1.2500,1.2575
